name,category,price_range,estado,texto_recomendacao_limpo
doce amor,doces & bolos,cheapest,go,doce amor doces bolos cheapest go
gourmet burguers sumare,lanches,cheapest,sp,gourmet burguers sumare lanches cheapest sp
the best açaí-av blumenau/ santo antônio,açaí,cheap,sc,the best acai av blumenau santo antonio acai cheap sc
pizzarella - bayeux,pizza,cheap,pb,pizzarella bayeux pizza cheap pb
aline brigadeiroo,doces & bolos,cheapest,sp,aline brigadeiroo doces bolos cheapest sp
delivery da nica,brasileira,cheap,sp,delivery da nica brasileira cheap sp
pizzaria michelangelo,pizza,moderate,mg,pizzaria michelangelo pizza moderate mg
spoleto - praia da costa,italiana,moderate,es,spoleto praia da costa italiana moderate es
adocica bolos e cia,doces & bolos,cheapest,pr,adocica bolos e cia doces bolos cheapest pr
f&k pastéis gourmet,pastel,cheapest,rj,f k pasteis gourmet pastel cheapest rj
yaki,japonesa,cheapest,sc,yaki japonesa cheapest sc
ns lanches,lanches,cheapest,sp,ns lanches lanches cheapest sp
pizza mais,pizza,cheap,pr,pizza mais pizza cheap pr
chica & cia marmitas,marmita,cheapest,sp,chica cia marmitas marmita cheapest sp
verissimo mercado,mercado,moderate,sp,verissimo mercado mercado moderate sp
bellutha,lanches,cheapest,rs,bellutha lanches cheapest rs
bob's - santana parque shopping,lanches,cheap,sp,bob s santana parque shopping lanches cheap sp
fabio dogs e burger,lanches,cheapest,sc,fabio dogs e burger lanches cheapest sc
quintal do churrasco,carnes,cheapest,sp,quintal do churrasco carnes cheapest sp
esfiharia novo pedaço,árabe,cheapest,sp,esfiharia novo pedaco arabe cheapest sp
minas burguer,lanches,moderate,mg,minas burguer lanches moderate mg
papa burguer hamburgueria & açai,carnes,cheapest,sp,papa burguer hamburgueria acai carnes cheapest sp
mundial beer,bebidas,cheapest,ms,mundial beer bebidas cheapest ms
r&c sanduíches e cremes delivery,lanches,cheapest,go,r c sanduiches e cremes delivery lanches cheapest go
tropicalia,saudável,moderate,ba,tropicalia saudavel moderate ba
que tal uma marmita fitness,marmita,cheapest,sp,que tal uma marmita fitness marmita cheapest sp
hc mercearia e conveniência,conveniência,cheapest,ms,hc mercearia e conveniencia conveniencia cheapest ms
manoelita baunilha,doces & bolos,cheapest,sp,manoelita baunilha doces bolos cheapest sp
açairiri,açaí,cheapest,rj,acairiri acai cheapest rj
gostosuras da jé,brasileira,cheapest,sp,gostosuras da je brasileira cheapest sp
dudu gelados e doces,açaí,cheapest,sp,dudu gelados e doces acai cheapest sp
bara sushi vila re,japonesa,cheapest,sp,bara sushi vila re japonesa cheapest sp
delícias do aipim,variada,cheap,rj,delicias do aipim variada cheap rj
piatto massas artesanais,italiana,cheap,mg,piatto massas artesanais italiana cheap mg
pequin food delivery,chinesa,cheap,sp,pequin food delivery chinesa cheap sp
