name,category,price_range,estado,texto_recomendacao_limpo
naja distribuidora e tabacaria,bebidas,cheapest,df,naja distribuidora e tabacaria bebidas cheapest df
loca como tu madre,brasileira,cheapest,df,loca como tu madre brasileira cheapest df
chapa burger,lanches,moderate,df,chapa burger lanches moderate df
patricinha caldos,brasileira,cheapest,df,patricinha caldos brasileira cheapest df
db distribuidora de bebidas,bebidas,cheapest,df,db distribuidora de bebidas bebidas cheapest df
dog do zé,lanches,cheapest,df,dog do ze lanches cheapest df
a mano,italiana,most_expensive,df,a mano italiana most expensive df
foragido's café's,típica do norte,cheapest,am,foragido s cafe s tipica do norte cheapest am
churrasquinho da nice,marmita,cheapest,am,churrasquinho da nice marmita cheapest am
surtada hamburgueria,hambúrguer,cheap,am,surtada hamburgueria hamburguer cheap am
restaurante e hamburgueria ice queen,hambúrguer,cheapest,am,restaurante e hamburgueria ice queen hamburguer cheapest am
enny café&pizzaria,lanches,cheapest,am,enny cafe pizzaria lanches cheapest am
buffet excelência vieiralves,brasileira,cheapest,am,buffet excelencia vieiralves brasileira cheapest am
rará burguer,lanches,cheapest,am,rara burguer lanches cheapest am
república burguer 092,lanches,cheap,am,republica burguer 092 lanches cheap am
delicious🍔 burger,hambúrguer,cheapest,am,delicious burger hamburguer cheapest am
dois netos delivery,lanches,cheapest,am,dois netos delivery lanches cheapest am
francis gourmet - doces e salgados,brasileira,cheapest,am,francis gourmet doces e salgados brasileira cheapest am
dimi burgs,brasileira,cheapest,am,dimi burgs brasileira cheapest am
pizzaria e lanchonete sensação,pizza,cheapest,am,pizzaria e lanchonete sensacao pizza cheapest am
cacau e caramello,doces & bolos,cheapest,am,cacau e caramello doces bolos cheapest am
pancho dogueria,lanches,cheapest,am,pancho dogueria lanches cheapest am
teco lanches mania,lanches,cheap,am,teco lanches mania lanches cheap am
restaurante e lanchonete sabor queromais,marmita,cheapest,am,restaurante e lanchonete sabor queromais marmita cheapest am
friends burguer,lanches,cheapest,am,friends burguer lanches cheapest am
varanda's burguer,coreana,cheapest,am,varanda s burguer coreana cheapest am
nilce's empadas,salgados,cheap,am,nilce s empadas salgados cheap am
batata suprema gourmet,lanches,moderate,am,batata suprema gourmet lanches moderate am
wakai sushi delivery,japonesa,cheapest,am,wakai sushi delivery japonesa cheapest am
quase sanduba,hambúrguer,cheap,am,quase sanduba hamburguer cheap am
king delivery,lanches,cheapest,am,king delivery lanches cheapest am
snack house delivery,lanches,cheapest,am,snack house delivery lanches cheapest am
úrsula cake - ateliê de doces,doces & bolos,cheapest,am,ursula cake atelie de doces doces bolos cheapest am
vegano - mercado saudável,mercado,cheapest,am,vegano mercado saudavel mercado cheapest am
bunker burger delivery,lanches,cheapest,am,bunker burger delivery lanches cheapest am
na brasa assados,frangos,cheap,am,na brasa assados frangos cheap am
battuta - batatas recheadas,lanches,cheapest,am,battuta batatas recheadas lanches cheapest am
massas & massas,brasileira,cheapest,am,massas massas brasileira cheapest am
barba negra house beer,bebidas,moderate,am,barba negra house beer bebidas moderate am
kilomania,brasileira,moderate,am,kilomania brasileira moderate am
tôbrocado,marmita,cheapest,am,tobrocado marmita cheapest am
mano lanche's,lanches,cheapest,am,mano lanche s lanches cheapest am
potatoes - batatas recheadas,lanches,cheap,am,potatoes batatas recheadas lanches cheap am
bolo da mãe,doces & bolos,cheapest,am,bolo da mae doces bolos cheapest am
a brigadeiria gourmet,doces & bolos,moderate,am,a brigadeiria gourmet doces bolos moderate am
hood dogz,lanches,cheapest,am,hood dogz lanches cheapest am
gruta caramelo,pastel,cheapest,am,gruta caramelo pastel cheapest am
chibata burguer,lanches,cheapest,am,chibata burguer lanches cheapest am
brothers burguer,lanches,cheapest,am,brothers burguer lanches cheapest am
doce felicita cake & tacacá,doces & bolos,cheap,am,doce felicita cake tacaca doces bolos cheap am
canudão recheado,lanches,cheapest,am,canudao recheado lanches cheapest am
frango da manu - frango frito,brasileira,cheapest,am,frango da manu frango frito brasileira cheapest am
imperio sushi delivery,japonesa,cheapest,am,imperio sushi delivery japonesa cheapest am
las vegas burguer,lanches,cheapest,am,las vegas burguer lanches cheapest am
restaurante e lanchonete top fast burger,lanches,cheapest,am,restaurante e lanchonete top fast burger lanches cheapest am
fogalho,brasileira,cheapest,am,fogalho brasileira cheapest am
danyella pizzaria (delivery),pizza,cheapest,am,danyella pizzaria delivery pizza cheapest am
la boheme cafeteria,cafeteria,cheapest,am,la boheme cafeteria cafeteria cheapest am
fábrica da pizza delivery em minutos,pizza,cheapest,am,fabrica da pizza delivery em minutos pizza cheapest am
imperio dos canudos,salgados,cheapest,am,imperio dos canudos salgados cheapest am
rei da pizza aleixo,pizza,moderate,am,rei da pizza aleixo pizza moderate am
sra. pizza delivery,pizza,moderate,am,sra pizza delivery pizza moderate am
lanchonete e pizzaria m. a.,lanches,cheapest,am,lanchonete e pizzaria m a lanches cheapest am
mr.san lanche,lanches,cheapest,am,mr san lanche lanches cheapest am
oriental sushi - são jorge,japonesa,moderate,am,oriental sushi sao jorge japonesa moderate am
lolô dindin gourmet,sorvetes,moderate,am,lolo dindin gourmet sorvetes moderate am
delipan,padaria,cheap,am,delipan padaria cheap am
mr. hider burger,hambúrguer,cheapest,am,mr hider burger hamburguer cheapest am
